Date,Close,High,Low,Open,Volume
,GOOG,GOOG,GOOG,GOOG,GOOG
2015-01-02,25.9399471282959,26.25924877324978,25.904854236027987,26.14754178796532,28951268
2015-01-05,25.399213790893555,25.916223752441418,25.359178662476953,25.86333578799289,41196796
2015-01-06,24.810535430908203,25.51314583441533,24.76555806466375,25.455067952356515,57998800
2015-01-07,24.768028259277344,25.07170913266238,24.696358287496704,25.059648490828717,41301082
2015-01-08,24.846118927001953,24.885660583125404,24.268807722513507,24.61430469177004,67071641
2015-01-09,24.52435302734375,24.956840214672543,24.45614299504929,24.948933394397702,41427428
2015-01-12,24.345420837402344,24.514759489238585,24.09877799913582,24.463552343072863,46535413
2015-01-13,24.524843215942383,24.860947315781882,24.33751285847737,24.656319136933888,47409807
2015-01-14,24.75666046142578,24.87330780180532,24.367666462597523,24.449222798091103,44714427
2015-01-15,24.802133560180664,24.99440617848832,24.60294105610669,24.988968585192158,54316718
2015-01-16,25.113025665283203,25.118463257387226,24.71365191948714,24.714147277321374,45965854
2015-01-20,25.054704666137695,25.331496284125432,25.011011075434975,25.25735709017365,44640224
2015-01-21,25.605323791503906,25.66661392787098,25.020103856915146,25.072002991420998,45374234
2015-01-22,26.4134578704834,26.50934742740863,25.687372926495694,25.775351883303113,53538588
2015-01-23,26.688278198242188,26.798007542482853,26.344758817770586,26.47277670116455,45634948
2015-01-26,26.453989028930664,26.641319380347753,26.180163901354387,26.61808860928305,30874534
2015-01-27,25.634489059448242,26.231077725974508,25.612740577689706,26.19499411523282,38080263
2015-01-28,25.207931518554688,25.8499929200552,25.207931518554688,25.83961309157158,33676205
2015-01-29,25.240549087524414,25.261802208203417,24.77296719783454,25.257355331605517,83727244
2015-01-30,26.419883728027344,26.684319732051822,25.480764678965055,25.497570922501755,112127002
2015-02-02,26.121349334716797,26.34475954876345,25.63053469289807,26.281987109470915,56996054
2015-02-03,26.158912658691406,26.36452968559854,25.863337119005394,26.097622513488528,40773638
2015-02-04,25.838623046875,26.328547146820608,25.764977316453965,26.15891164094578,33273101
2015-02-05,26.076862335205078,26.122336948615924,25.805506400539986,25.8895338512226,36995292
2015-02-06,26.24590301513672,26.55235183084702,26.019030988032515,26.079827662090292,35270570
2015-02-09,26.08922004699707,26.29533242955611,25.999756893138166,26.097622224936735,25355423
2015-02-10,26.53950309753418,26.57706900179869,26.044241581796904,26.161877748560883,34997823
2015-02-11,26.49155616760254,26.614136446086995,26.363439981177766,26.45843903526559,27555446
2015-02-12,26.835569381713867,26.92898782959698,26.42744931003605,26.554824352211426,32404724
2015-02-13,27.136089324951172,27.18057322024133,26.84545604119954,26.856331226753305,38006060
2015-02-17,26.831125259399414,27.185024475922965,26.74462668766429,27.028340112276336,32336537
2015-02-18,26.675922393798828,26.962106927555034,26.56767534286834,26.759949845364748,29061570
2015-02-19,26.832605361938477,26.844467482042845,26.592388921769533,26.593871214112824,19782163
2015-02-20,26.638851165771484,26.876103027470638,26.483153745275605,26.845457010605823,28887092
2015-02-23,26.290882110595703,26.51473850334254,26.16731300366365,26.49551029798582,29157834
2015-02-24,26.497488021850586,26.532087447514872,26.109978235768555,26.196474909250277,20101036
2015-02-25,26.882036209106445,26.998190086253004,26.465610332174986,26.48809996135474,36519991
2015-02-26,27.45588493347168,27.488508602285158,26.764892750784405,26.849413671713865,46230579
2015-02-27,27.60021209716797,27.912098512315207,27.32836081078372,27.394595079063535,48203982
2015-03-02,28.23979949951172,28.27983462423596,27.61750902436473,27.70548987413653,42592618
2015-03-03,28.353483200073242,28.439979869881107,28.001559789040073,28.195810031727994,34095352
2015-03-04,28.340139389038086,28.524996755113882,28.0752098730776,28.26599829943977,37536775
2015-03-05,28.4370174407959,28.564539962105787,28.342116696005416,28.421693487006067,27792094
2015-03-06,28.059141159057617,28.50373996042595,28.01342076333786,28.414770286230894,33182854
2015-03-09,28.116729736328125,28.186915526657145,27.854023653826204,28.018367155059142,21242161
2015-03-10,27.432655334472656,27.919019299577375,27.41881556342129,27.88936399780952,35846146
2015-03-11,27.24334716796875,27.587361901465265,27.2186341015091,27.439079721349167,36415706
2015-03-12,27.457366943359375,27.49987318874984,27.207757610439934,27.358512791582815,27792094
2015-03-13,27.05255699157715,27.60021106302843,26.89933258621032,27.358016977207683,34071287
2015-03-16,27.407939910888672,27.523600312513214,26.98731297475538,27.231978190903178,32819860
2015-03-17,27.22654151916504,27.372846041998983,27.08616805637258,27.26954312247505,36110871
